,N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
10,5500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
11,6000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
12,6500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
13,7000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
14,7500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
15,8000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
16,8500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
17,9000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
18,9500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
19,10000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
20,10500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
21,11000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
22,11500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
23,12000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
24,12500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
25,13000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
26,13500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
27,14000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
28,14500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
29,15000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
30,15500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
31,16000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
32,16500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
33,17000,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
34,17500,1.0,1.584962500721156,2.0,2.321928094887362,2.584962500721156,2.807354922057604,3.0,3.169925001442312,3.321928094887362,3.4594316186372973,3.584962500721156,3.700439718141092,3.807354922057604,3.9068905956085187,4.0,4.087462841250339,4.169925001442312,4.247927513443585,4.321928094887363,4.392317422778761,4.459431618637297,4.523561956057013,4.584962500721156,4.643856189774724,4.700439718141092,4.754887502163468,4.807354922057604,4.857980995127572,4.906890595608519,4.954196310386875,5.0,5.044394119358453,5.087462841250339,5.129283016944966,5.169925001442312,5.20945336562895,5.247927513443585,5.285402218862249,5.321928094887363,5.357552004618084,5.392317422778761,5.426264754702098,5.459431618637297,5.491853096329675,5.523561956057013,5.554588851677638,5.584962500721156,5.614709844115208,5.643856189774724
